1942(tm) Game	'42	1942
Tale Spin(tm) Game	SPIN	TaleSpin
Target: Renegade(tm) Game	TAR	Target - Renegade
Tecmo Bowl(tm) Game	BOWL	Tecmo Bowl
Tecmo(tm) NBA(tm) Basketball Game	BALL	Tecmo NBA Basketball
Teenage Mutant Ninja Turtles III-The Manhattan Project(tm)	TMNT3	Teenage Mutant Ninja Turtles III - The Manhattan Project
Teenage Mutant Ninja Turtles(tm) Game	TEEN	Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles(tm) II: The Arcade Game(tm)	TMNT2	Teenage Mutant Ninja Turtles II - The Arcade Game
Terra Cresta(tm) Game	TERA	Terra Cresta
Tetris 2(tm) Game	TET2	Tetris 2
Tetris(tm) Game	TET	Tetris
The Adventures of Bayou Billy(tm) Game	BILL	Adventures of Bayou Billy, The
The Adventures of Rocky and Bullwinkle and Friends(tm) Game	BULL	Adventures of Rocky and Bullwinkle and Friends, The
The Bugs Bunny(tm) Birthday Blow Out(tm) Game	BUGS	Bugs Bunny Birthday Blowout, The
The Empire Strikes Back(tm) Game	EMP	Star Wars - The Empire Strikes Back
The Fantastic Adventures of Dizzy(tm) Game	DIZ	Fantastic Adventures of Dizzy, The
The Flintstones--The Surprise at Dinosaur Peak(tm) Game	STONES	Flintstones, The - The Surprise at Dinosaur Peak!
The Flintstones: The Rescue of Dino and Hoppy(tm) Game	FLINT	Flintstones, The - The Rescue of Dino & Hoppy
The Great Waldo Search(tm) Game	SEARCH	Great Waldo Search, The
The Guardian Legend(tm) Game	GUARD	Guardian Legend, The
The Hunt for Red October(tm) Game	RED	Hunt for Red October, The
The Immortal(tm) Game	MORT	Immortal, The
The Jetsons: Cogswell's Caper (tm) Game	JET	Jetsons, The - Cogswell's Caper!
The Karate Kid(tm) Game	KARA	Karate Kid, The
The Krion Conquest(tm) Game	KRI	Krion Conquest, The
The Last Starfighter(tm) Game	LAST	Last Starfighter, The
The Legend of Kage(tm) Game	KAGE	Legend of Kage, The
The Legend of Zelda(tm) Game	ZELD	Legend of Zelda, The
The Little Mermaid(tm) Game	MAID	Little Mermaid, The
The Lone Ranger(tm) Game	LONE	Lone Ranger, The
The Magic of Scheherazade(tm) Game	MAGIC	Magic of Scheherazade, The
The Punisher(tm) Game	PUN	Punisher, The
The Ren & Stimpy Show Buckeroos (tm) Game	ROOS	Ren & Stimpy Show, The
The Simpsons(tm): Bart Vs. The World(tm)	BAR2	Simpsons, The - Bart Vs. the World
The Simpsons(tm): Bart(tm) vs. The Space Mutants Game	BART	Simpsons, The - Bart Vs. the Space Mutants
The Simpsons: Bartman Meets Radioactive Man(tm) Game	RADIO	Simpsons, The - Bartman Meets Radioactive Man
The Untouchables(tm) Game	UNTO	Untouchables, The
The Young Indiana Jones Chronicles(tm) Game	KRON	Young Indiana Jones Chronicles, The
Thunderbirds(tm) Game	BIRD	Thunderbirds
Thundercade(tm) Game	CADE	Thundercade
Tiger Heli(tm) Game	HELI	Tiger-Heli
Time Lord(tm) Game	LORD	Time Lord
Tiny Toon Adventures 2(tm) Game	TOON2	Tiny Toon Adventures 2 - Trouble in Wackyland
Tiny Toon Adventures(tm) Game	TINY	Tiny Toon Adventures
To The Earth(tm) Game	EARTH	To The Earth
Tom and Jerry(tm) Game	TOM	Tom & Jerry
Toobin'(tm) Game	TOOB	Toobin'
Top Gun(tm) (The Second Mission) Game	GUN	Top Gun - The Second Mission
Top Gun(tm) Game	TOP	Top Gun
Total Recall(tm) Game	CALL	Total Recall
Totally Rad(tm) Game	RAD	Totally Rad
Trojan(tm) Game	TRO	Trojan
Twin Cobra(tm) Game	COBRA	Twin Cobra
Twin Eagle(tm) Game	TWIN	Twin Eagle
Ultima Exodus(tm) Game	ULT	Ultima - Exodus
Ultima, Quest of the Avatar(tm) Game	AVA	Ultima - Quest of the Avatar
Ultima, Warriors of Destiny(tm) Game	DEST	Ultima - Warriors of Destiny
Ultimate Stuntman (tm) Game	ULT	Ultimate Stuntman
Urban Champion(tm) Game	URB	Urban Champion
Vice: Project Doom(tm) Game	VICE	Vice - Project Doom
Vindicators(tm) Game	VIND	Vindicators
WWF Wrestlemania Challenge(tm) Game	WRES	WWF WrestleMania Challenge
WWF Wrestlemania(tm) Game	WRES	WWF Wrestlemania
Wacky Races(tm) Game	RACES	Wacky Races
Wayne's World (tm) Game	WAY	Wayne's World
Werewolf: The Last Warrior(tm) Game	WOLF	Werewolf - The Last Warrior
Wheel Of Fortune(tm) Game	WHEEL	Wheel of Fortune
Where's Waldo(tm) Game	WHERE	Where's Waldo
Who Framed Roger Rabbit(tm) Game	ROG	Who Framed Roger Rabbit
Whomp 'Em(tm) Game	WHOMP	Whomp'Em
Wild Gunman(tm) Game	WILD	Wild Gunman
Willow(tm) Game	WILO	Willow
Wizardry - Proving Grounds of the Mad Overlord(tm) Game	PROV	Wizardry - Proving Grounds of the Mad Overlord
Wizards & Warriors III(tm) Game	WAW3	Wizards & Warriors III - Kuros - Visions of Power
Wizards and Warriors(tm) Game	WIZ	Wizards & Warriors
Wolverine (tm) Game	WOLV	Wolverine
World Cup(tm) Game	CUP	Nintendo World Cup
World Wrestling(tm) Game	WORLD	Tecmo World Wrestling
Wrath of the Black Manta(tm) Game	MANT	Wrath of the Black Manta
Wrecking Crew(tm) Game	CREW	Wrecking Crew
Wurm: Journey to the Center of the Earth(tm) Game	WURM	WURM - Journey to the Center of the Earth
X-Men(tm) Game	X	Uncanny X-Men, The
Xenophobe(tm) Game	XENO	Xenophobe
Xevious(tm) The Avenger Game	ZEV	Xevious
Xexyz(tm) Game	XEX	Xexyz
Yo! Noid(tm) Game	NOID	Yo! Noid
Yoshi(tm) Game	YOSH	Yoshi
Zanac(tm) Game	ZAN	Zanac
Zelda II: The Adventures of Link(tm) Game	ZEL2	Zelda II - The Adventure of Link
Zen Intergalactic Ninja(tm) Game	ZEN	Zen - Intergalactic Ninja
Zoda's Revenge: Star Tropics II(tm) Game	ZODE	Startropics II - Zoda's Revenge
